paragraph,txt,chapter,type
195,"Het verdienmodel van criminelen wordt harder aangepakt door de jacht op crimineel geld te intensiveren, bijvoorbeeld met de mogelijkheid om crimineel vermogen te confisqueren wanneer veroordeling niet mogelijk is. We pakken crimineel vermogen af en geven meer prioriteit aan financiële opsporing en ‘intelligence’ om geldstromen te verstoren. Afgepakt geld of afgepakte zaken, zoals die van personen die (de herkomst van) bezit van kostbare zaken niet (fiscaal) kunnen verklaren, krijgen zoveel mogelijk een publieke bestemming, met name in de wijken die het meest lijden onder criminaliteit.",3. Veiligheid en sterke samenleving,txt
196,"Bedrijven en hun bestuurders die ondermijnende criminaliteit faciliteren, witwassen en zich schuldig maken aan milieucriminaliteit, worden steviger aangepakt.",3. Veiligheid en sterke samenleving,txt
197,"Criminaliteitsbestrijders, journalisten, rechters, advocaten, bestuurders en andere hoeders van de rechtsstaat strijden om ons veilig te houden, maar lopen ondertussen zelf risico. Geweld en intimidatie nemen toe. Daarom wordt het stelsel van bewaken en beveiligen verbeterd.",3. Veiligheid en sterke samenleving,txt
198,"We staan pal voor de persvrijheid en voor journalisten die veilig en in vrijheid hun belangrijke werk moeten kunnen doen. Het fonds waarmee de journalisten, die niet voor een werkgever werken, worden ondersteund bij het borgen van hun veiligheid, zetten we voort.",3. Veiligheid en sterke samenleving,txt
199,"Om criminaliteit goed aan te kunnen pakken is het belangrijk dat verschillende partijen (lokaal) beter kunnen samenwerken en gegevens uitwisselen. Ook zorgen we voor voldoende capaciteit en expertise om de taken beter te kunnen uitvoeren. We zorgen ervoor dat de grondslagen voor die gegevensuitwisseling met de juiste waarborgen, zoals doelbinding en proportionaliteit, zijn verankerd in de wet en dat in adequaat toezicht is voorzien.",3. Veiligheid en sterke samenleving,txt
200,Preventie,3. Veiligheid en sterke samenleving,txt
201,"Om te voorkomen dat jongeren de criminaliteit ingaan worden meer (jeugd)wijkagenten ingezet en komt er een brede, domeinoverstijgende wijkaanpak ter bevordering van leefbaarheid en veiligheid. We doen recht aan de wettelijke norm van minimaal 1 wijkagent per 5000 inwoners. Politie en justitie dienen de ruggengraat te vormen van een wijkenaanpak die kwetsbare wijken weerbaar moet maken tegen ondermijnende criminaliteit, door een combinatie van veiligheidsbeleid, sociaal offensief en het bieden van een uitweg uit (drugs)criminaliteit richting werk of een opleiding. Bij de uitwerking hiervan wordt het door gemeenten bepleite meerjarige programma Leefbaarheid en veiligheid betrokken.",3. Veiligheid en sterke samenleving,txt
202,"Door in te zetten op een brede preventie-aanpak, via onder meer meer jeugdwerkers, voorkomen we dat jongeren afglijden naar de criminaliteit of na een overtreding draaideurcriminelen worden. Dit doen we onder andere door vroegtijdig kwetsbaarheden, te signaleren en in te zetten op bewezen methodes.",3. Veiligheid en sterke samenleving,txt
203,Politie en GGZ gaan intensiever samenwerken en zorgen ervoor dat personen met verward gedrag aparte zorg krijgen en niet onnodig worden opgepakt.,3. Veiligheid en sterke samenleving,txt
204,Ter voorkoming van recidive werken we verder toe naar meer maatwerk in het gevangenisregime waar re-integratie in de samenleving een belangrijk onderdeel van is. Om- en bijscholing in de gevangenis en huisvesting voor ex-gedetineerden worden gefaciliteerd.,3. Veiligheid en sterke samenleving,txt
205,Drugs,3. Veiligheid en sterke samenleving,txt
206,"Ter voorkoming van problematisch gebruik van drugs zetten we intensiever in op een actieve en effectieve preventieaanpak, in het bijzonder ter bescherming van kwetsbare jongeren.",3. Veiligheid en sterke samenleving,txt
207,"De experimenten op basis van de Wet experiment gesloten coffeeshopketen worden voortgezet en uitgebreid met een grote stad. Op korte termijn worden criteria vastgesteld voor de beoordeling van de uitkomst van de experimenten op het gebied van criminaliteit, volksgezondheid en preventie. Het kabinetsstandpunt over het evaluatieverslag over de experimenten wordt in 2024 aan de Kamers gezonden. De uitkomst van de experimenten is leidend. Voorafgaande aan het evaluatieverslag worden, mede op basis van tussentijdse monitoring, juridische en praktische voorbereidingen getroffen om na afloop van de experimenten zoveel mogelijk direct te kunnen handelen in lijn met de uitkomst hiervan.",3. Veiligheid en sterke samenleving,txt
208,"Er komt een staatscommissie die de status van XTC (MDMA) in het kader van de volksgezondheid onderzoekt en advies uitbrengt over de voor- en nadelen van medicinaal gebruik, met inbegrip van een analyse vanuit verschillende disciplines van risico’s voor de gezondheid, preventie en de Europese context en relevante verdragen.",3. Veiligheid en sterke samenleving,txt
209,Radicalisering en extremisme,3. Veiligheid en sterke samenleving,txt
210,"We beschermen de samenleving tegen de dreiging van alle vormen van radicalisering en haatzaaien, van jihadisme tot links- en rechts-extremisme. Ook moet er meer aandacht zijn voor de ontwrichtende werking van anti-overheids- en antidemocratische sentimenten en desinformatie. Door in te zetten op preventie, signalering, opsporing, vervolging en stevig te straffen pakken we dit aan. Dit vraagt om een weerbare samenleving, aanwezigheid in kwetsbare wijken en een robuuste inlichtingen- en veiligheidsstructuur. De maximale straf voor deelname aan een terroristische organisatie wordt verhoogd naar 20 jaar.",3. Veiligheid en sterke samenleving,txt
211,"De in de vorige periode ingeslagen weg met betrekking tot uitgereisde IS-ers, wordt voortgezet. De wet van 25 november 2015 inzake langdurig toezicht, gedragsbeïnvloeding en vrijheidsbeperking wordt aangevuld met bepalingen over terroristische misdrijven.",3. Veiligheid en sterke samenleving,txt
212,Mensenhandel / prostitutie,3. Veiligheid en sterke samenleving,txt
213,De aanpak van mensenhandel houdt prioriteit. Daarom zetten we het actieplan Samen tegen Mensenhandel voort.,3. Veiligheid en sterke samenleving,txt
214,Mensenhandel doet grove afbreuk aan de waardigheid van mensen. Daarom gaan we uitbuiting tegen en vergroten we de toegankelijkheid van hulpverlening. Artikel 273f van het Wetboek van Strafrecht wordt gemoderniseerd om vervolging van daders te verbeteren.,3. Veiligheid en sterke samenleving,txt
215,"We verbeteren de hulpverlening voor alle sekswerkers. Uitstapprogramma’s worden uitgebreid en structureel gemaakt. Deelnemers kunnen desgewenst een urgentieverklaring krijgen op afstand van hun oude omgeving. We versterken de rechtspositie van sekswerkers o.a. door toegang tot verzekeringen, zakelijke bankrekeningen en andere financiële dienstverlening.",3. Veiligheid en sterke samenleving,txt
216,"We voeren de Wet Regulering Sekswerk in die in de kern bestaat uit een landelijke vergunningplicht en een landelijk register. Daarbij doen we recht aan de reactie van de Raad van State op het wetsvoorstel op het punt van het vergunningsgesprek en de positie van financiële dienstverleners, beveiligers, vervoerders en verhuurders bij het pooierverbod. We schrappen de bestuurlijke boete voor sekswerkers, zodat ook sekswerkers zonder vergunning om hulp en voorlichting durven te vragen en ook voor klanten die melding of aangifte doen van misstanden schrappen we de strafbaarstelling in deze wet.",3. Veiligheid en sterke samenleving,txt
217,4. Bestaanszekerheid en kansengelijkheid,4. Bestaanszekerheid en kansengelijkheid,txt
218,"Onderwijs en ontwikkeling Iedereen in Nederland verdient een goed bestaan en moet mee kunnen doen. Dat begint bij het bieden van dezelfde kansen aan alle kinderen, jongeren en studenten om zich te ontwikkelen en te ontplooien. Daarom willen we de onderwijskwaliteit versterken om de basis op orde te krijgen, zodat elk kind leert lezen, schrijven en rekenen en goed wordt onderwezen in burgerschap. Om dat te bereiken investeren we ook in voldoende en goede leraren en schoolleiders. We vergroten de kansengelijkheid door te investeren in kinderopvang, voor- en vroegschoolse educatie en de rijke schooldag. We versterken het beroepsonderwijs en het wetenschappelijk onderwijs. En we waarborgen sociale veiligheid en gelijke behandeling.",4. Bestaanszekerheid en kansengelijkheid,txt
219,Basis op orde,4. Bestaanszekerheid en kansengelijkheid,txt
220,"Er komt een ‘masterplan’ zodat ieder kind leert lezen, schrijven en rekenen en we gebruiken hiervoor effectief bewezen lesmethodes, zoals ingezet bij het Nationaal Programma Onderwijs. We willen zichtbare verbeteringen op het gebied van de onderwijskwaliteit in het algemeen en de basisvaardigheden in het bijzonder. We geven duidelijker aan wat we van scholen verwachten, bijvoorbeeld bij de curriculumherziening. We sturen op de kwaliteit van het onderwijs en grijpen sneller in bij scholen die onvoldoende presteren. Burgerschap wordt een integraal onderdeel van het onderwijs en wordt gegeven door daartoe bevoegde docenten.",4. Bestaanszekerheid en kansengelijkheid,txt
221,"We brengen scholen in positie door investeringen zoveel mogelijk rechtstreeks naar de klas te laten gaan, volgens de systematiek van de werkdrukmiddelen. Scholen gaan zich beter verantwoorden over de inzet en effectiviteit van de middelen zonder de administratieve lastendruk te verhogen. We versterken de zeggenschap van schoolleiders en leraren evenals de betrokkenheid en inspraak van ouders en leerlingen.",4. Bestaanszekerheid en kansengelijkheid,txt
222,We brengen het gespecialiseerd voortgezet onderwijs zo snel als mogelijk onder bij het voortgezet onderwijs.,4. Bestaanszekerheid en kansengelijkheid,txt
223,Het praktijkonderwijs is een volwaardige onderwijssoort. We werken toe naar rechtstreekse financiering met inachtneming van het lopende onderzoek dat hiernaar wordt uitgevoerd door Kenniscentrum Beroepsonderwijs Arbeidsmarkt Nijmegen.,4. Bestaanszekerheid en kansengelijkheid,txt
224,In totaal investeren we structureel €1 miljard per jaar voor het versterken van de onderwijskwaliteit.,4. Bestaanszekerheid en kansengelijkheid,txt
225,Vergroten van kansengelijkheid,4. Bestaanszekerheid en kansengelijkheid,txt
226,"We zorgen voor een goede start voor ieder kind op de kinderopvang, met het oog op de ontwikkeling van het kind. Zo maken we het voor ouders ook makkelijker om te werken. In stappen verhogen we de vergoeding van de kinderopvang tot 95% voor werkende ouders voor kinderen tot 12 jaar. De toeslag wordt straks direct uitgekeerd aan kinderopvanginstellingen zodat ouders niet meer worden geconfronteerd met grote terugvorderingen. Op basis van de praktijkervaringen en gedragseffecten bezien we de ambitie om het vergoedingspercentage op te hogen naar 100%.",4. Bestaanszekerheid en kansengelijkheid,txt
227,"We voorkomen leerachterstanden bij de start door het stimuleren van de deelname van kinderen met een taalachterstand aan voor- en vroegschoolse educatie (VVE), het versterken van de kwaliteit, en de relatie tussen opvang en onderwijs te versterken. Als onderdeel van een brede aanpak van bestrijding van armoede in kwetsbare wijken door gemeenten investeren we",4. Bestaanszekerheid en kansengelijkheid,txt
228,"in een rijke schooldag, waarbij scholen zelf bepalen wat zij nodig achten om de kansenongelijkheid te verkleinen. Te denken valt aan begeleiding bij huiswerk, sport en cultuur in samenwerking met plaatselijke verenigingen en bibliotheken. We beginnen bij de scholen waar de nood het hoogst is.",4. Bestaanszekerheid en kansengelijkheid,txt
229,"We halen het beste in elke leerling naar boven. Of je nu een leerachterstand hebt of juist een excellente leerling bent. We kiezen voor een structurele versterking van scholen met veel leerachterstanden. Gelijke kansen vragen een ongelijke aanpak, zodat elk kind de beste kans krijgt.",4. Bestaanszekerheid en kansengelijkheid,txt
230,We verbeteren de overgang van basis- naar voortgezet onderwijs. We stimuleren brede en verlengde brugklassen met oog voor de talenten van elke leerling. We bevorderen doorstroom en differentiatie om leerlingen maximale kansen te geven in het voortgezet onderwijs. We geven ruimte voor een maatwerkdiploma.,4. Bestaanszekerheid en kansengelijkheid,txt
231,"We zetten de maatschappelijke diensttijd voort en bouwen deze verder uit, zodat jongeren in contact kunnen komen met nieuwe leefwerelden, zich inzetten voor de samenleving, nieuwe vaardigheden ontwikkelen en mogelijk ontdekken waar hun passies liggen. Dat kan bij (maatschappelijke) projecten op het terrein van zorg, welzijn, veiligheid, defensie, sport, natuur en klimaat.",4. Bestaanszekerheid en kansengelijkheid,txt
232,We gaan verder met de verbeteraanpak van passend onderwijs en streven naar inclusief onderwijs waarbij kinderen met en zonder een beperking of ziekte samen naar school gaan.,4. Bestaanszekerheid en kansengelijkheid,txt
233,"We brengen het aantal onnodige thuiszitters terug naar 0 door elk kind een vorm van onderwijs te geven, onder meer door het vormgeven van een Digitale School.",4. Bestaanszekerheid en kansengelijkheid,txt
234,"We investeren structureel €1 miljard per jaar voor het vergroten van de kansengelijkheid, inclusief de maatschappelijke diensttijd.",4. Bestaanszekerheid en kansengelijkheid,txt
235,Investeren in goede leraren en schoolleiders,4. Bestaanszekerheid en kansengelijkheid,txt
236,"Om de onderwijskwaliteit in Nederland te verhogen, investeren we in goede en voldoende leraren en schoolleiders. We trekken hier €800 miljoen per jaar structureel voor uit.",4. Bestaanszekerheid en kansengelijkheid,txt
237,"We zetten in op versterking van de kwaliteit van lerarenopleidingen met aandacht voor effectieve vakdidactiek, specialisatie in het jonge of oudere kind, digitale vaardigheden en passend onderwijs. We verhogen de academische instroom.",4. Bestaanszekerheid en kansengelijkheid,txt
238,We maken (bij)scholing prioriteit en bevorderen professionele ontwikkeling. We ondersteunen beginnende leraren en flexibiliseren en verbeteren de opleiding voor zij-instromers.,4. Bestaanszekerheid en kansengelijkheid,txt
239,In het kader van het lerarentekort stimuleren we de uitbreiding van contracten (meer uren).,4. Bestaanszekerheid en kansengelijkheid,txt
240,We dichten de loonkloof en streven naar één cao voor leraren en bestuurders in het funderend onderwijs. We verbeteren de arbeidsvoorwaarden voor schoolleiders en leraren op scholen met veel leerachterstanden.,4. Bestaanszekerheid en kansengelijkheid,txt
241,We versterken de positie en kwaliteit van schoolleiders waardoor op elke school een lerende cultuur ontstaat ten behoeve van het verhogen van de onderwijskwaliteit voor ieder kind.,4. Bestaanszekerheid en kansengelijkheid,txt
242,We investeren in het verlagen van de werkdruk; scholen kunnen hiermee bijvoorbeeld de klassen verkleinen of meer docenten of begeleiders in de klas inzetten. We faciliteren het gebruik van digitale hulpmiddelen om de werkdruk van de leraar te verminderen en de onderwijskwaliteit te verbeteren.,4. Bestaanszekerheid en kansengelijkheid,txt
243,Sterker beroepsonderwijs,4. Bestaanszekerheid en kansengelijkheid,txt
244,We stimuleren het aanbod van arbeidsmarktrelevante beroepsopleidingen in techniekhavo en kleinschalig vakonderwijs. We behouden een zo groot mogelijk aanbod van mbo-opleidingen dichtbij huis. We versterken de kansen door drempels weg te nemen en doorstroom te stimuleren.,4. Bestaanszekerheid en kansengelijkheid,txt
245,"We sluiten een pact tussen overheid, onderwijsinstellingen en bedrijfsleven om te zorgen dat elke mbo-student een stageplek en een passende vergoeding krijgt. We bannen stagediscriminatie uit.",4. Bestaanszekerheid en kansengelijkheid,txt
246,"We versterken de kwaliteit, hiertoe worden vakken in basisvaardigheden en burgerschap gegeven door bevoegde docenten en geven we ruimte aan mensen uit de praktijk voor (gast)lessen.",4. Bestaanszekerheid en kansengelijkheid,txt
247,We evalueren zo snel als mogelijk de voor- en nadelen van het bindend studie advies (BSA) in het mbo en maken daarna een nieuwe afweging over het bindend gedeelte van het studieadvies.,4. Bestaanszekerheid en kansengelijkheid,txt
248,We versterken de roc’s als regionale opleidingscentra waarin ook volwassenen een leven lang leren en ook nieuwkomers – op basis van de nieuwe inburgeringswet – vanaf dag één leren en integreren.,4. Bestaanszekerheid en kansengelijkheid,txt
249,"We bevorderen de gelijke behandeling van studenten uit het mbo, hbo en wo.",4. Bestaanszekerheid en kansengelijkheid,txt
250,Sterker hoger- en wetenschappelijk onderwijs,4. Bestaanszekerheid en kansengelijkheid,txt
251,"We willen dat iedereen in staat is om te kunnen studeren, ongeacht het inkomen van de ouders. We voeren daarom per studiejaar 2023/2024 een basisbeurs voor alle studenten in en een inkomensafhankelijke aanvullende beurs. We hebben daarbij aandacht voor de uitvoerbaarheid en handhaafbaarheid. We laten de OV-studentenkaart, de huidige leenvoorwaarden en de investeringen vanuit het studievoorschot ongemoeid.",4. Bestaanszekerheid en kansengelijkheid,txt
252,"Studenten voor wie geen basisbeurs beschikbaar is geweest krijgen de keuze tussen korting op hun studieschuld of een studievoucher. Hiervoor wordt €1 miljard extra uitgetrokken, bovenop het huidige budget voor studievouchers.",4. Bestaanszekerheid en kansengelijkheid,txt
253,"We zetten koers naar een kenniseconomie waarbij we, in lijn met de Lissabondoelstelling, investeren in vrij en ongebonden onderzoek en ontwikkeling. Dit doen we onder meer door het instellen van een fonds waarin we in totaal €5 miljard investeren gedurende 10 jaar. We vergroten de voorspelbaarheid van de bekostiging door het weghalen van de perverse prikkel op hogere instroom, de vaste voet te herzien en te verhogen, en een betere balans tussen de eerste en tweede geldstroom. Zo is er meer ruimte om de werkdruk aan te pakken, vaste contracten te bieden en een evenwichtig aanbod in krimpregio’s te behouden.",4. Bestaanszekerheid en kansengelijkheid,txt
254,"Als de bestaande en nog in te voeren instrumenten onvoldoende blijken te zijn om schokken in de (internationale) studentenaantallen te beheersen, dan kijken we of nieuwe instrumenten nodig zijn.",4. Bestaanszekerheid en kansengelijkheid,txt
255,"Universiteiten dienen voor kleine studies en voor Nederlandse taal en cultuur samen te werken en ook naar de toekomst een dekkend en passend aanbod te garanderen. We zorgen ervoor dat elke bachelorstudent een aansluitende master heeft op dezelfde instelling, met behoud van ruimte voor profilering.",4. Bestaanszekerheid en kansengelijkheid,txt
256,"Opleidingen die selecteren dienen te onderbouwen hoe de selectieprocedure past bij de inhoud van de opleiding, effectief is en gelijke kansen borgt.",4. Bestaanszekerheid en kansengelijkheid,txt
257,"Het bindend studieadvies (BSA) wordt aangepast. Studenten die in het eerste jaar niet de BSA- norm halen, krijgen de kans om in het tweede jaar de puntennorm alsnog te halen. Bij evident onvoldoende studievoortgang behoudt de instelling de mogelijkheid om een bindend studieadvies af te geven aan het einde van het eerste jaar en de student te begeleiden naar een beter passende opleiding. Met dit aangepaste BSA dragen we ook bij aan het verhogen van het studentenwelzijn.",4. Bestaanszekerheid en kansengelijkheid,txt
258,"We stimuleren de vrije en veilige uitwisseling van ideeën en borgen de academische vrijheid van wetenschappers. We stellen kaders vast voor de wetenschappelijke samenwerking met onvrije landen. ‘Open science’ en ‘open education’ worden de normen, mits de nationale veiligheid hierbij niet in het geding komt.",4. Bestaanszekerheid en kansengelijkheid,txt
259,Waarborgen voor sociale veiligheid en gelijke behandeling,4. Bestaanszekerheid en kansengelijkheid,txt
260,"We waarborgen de sociale veiligheid en gelijke behandeling op iedere school voor leerling en leraar, zodat ieder kind en iedere leraar veilig onderwijs geniet. De inspectie zet extra in op sociale veiligheid, krijgt ook tot taak in te gaan op individuele klachten en doet aangifte indien nodig. We breiden de wet sociale veiligheid uit met leraren.",4. Bestaanszekerheid en kansengelijkheid,txt
261,We zorgen ook dat ouders geholpen en gehoord worden. Er komt een onafhankelijk meldpunt Sociale Onveiligheid voor kinderen en ouders als onderdeel van de (vertrouwens)inspectie.,4. Bestaanszekerheid en kansengelijkheid,txt
262,"Slecht functionerende schoolbesturen pakken we hard aan, in lijn met de wet uitbreiding bestuurlijk instrumentarium onderwijs.",4. Bestaanszekerheid en kansengelijkheid,txt
263,We garanderen gelijke kansen bij aanmelding voor iedereen onafhankelijk van sociaal- economische en culturele achtergrond.,4. Bestaanszekerheid en kansengelijkheid,txt
264,"Onderscheid bij toelating vanwege de grondslag van de school mag niet tegelijk direct onderscheid inhouden op grond van ras, nationaliteit, seksuele geaardheid of burgerlijke staat. Daarmee is er geen noodzaak om artikel 23 Grondwet aan te passen.",4. Bestaanszekerheid en kansengelijkheid,txt
265,"We grijpen sneller in bij (informele) onderwijsinstellingen en hun vertegenwoordigers die anti- integratief, anti-democratisch of anti-rechtsstatelijk opereren. We breiden de mogelijkheden om dat te doen uit en onderzoeken op welke manieren dat mogelijk is.",4. Bestaanszekerheid en kansengelijkheid,txt
266,We zetten de bekostiging stop bij bewijs dat een instelling zich bezighoudt met anti- rechtsstatelijke praktijken.,4. Bestaanszekerheid en kansengelijkheid,txt
267,Er komt een verbod op het gebruik van lesmaterialen die kinderen anti-democratische of anti- rechtsstatelijke waarden aanleren. De onderwijsinspectie beoordeelt bij klachten of lesmateriaal in strijd is met de rechtsstaat.,4. Bestaanszekerheid en kansengelijkheid,txt
268,Er komt een expliciet verbod op (mede)financiering van onderwijs vanuit organisaties die onze democratische rechtsstaat ondermijnen.,4. Bestaanszekerheid en kansengelijkheid,txt
269,"Arbeidsmarkt en inkomen Werkgevers, en ondernemers houden ons land vitaal en zijn cruciaal voor onze welvaart. Mede dankzij ieders flexibiliteit en de steunpakketten is de werkloosheid laag. Tegelijkertijd zien we dat de kloof op de arbeidsmarkt is toegenomen en stelt het Sociaal Cultureel Planbureau dat 28% van de Nederlandse bevolking (financieel) kwetsbaar is. Daarnaast verandert de aard van ons werk door digitalisering, robotisering en globalisering. Dit maakt de toekomst onvoorspelbaar, maar biedt tegelijkertijd ook kansen.",4. Bestaanszekerheid en kansengelijkheid,txt
270,"We willen daarom een aantal grote hervormingen in de arbeidsmarkt doorvoeren, die de bestaanszekerheid van lage- en midden inkomens versterken en de lasten verlagen. Zodat werken loont, werkgeverschap en ondernemerschap aantrekkelijk blijft, ons welzijn stijgt en personeelstekorten in vitale sectoren opgevangen kunnen worden. Deze tekorten maken het ook voor de overheid een uitdaging om ambities in dit coalitie akkoord waar te maken. Ook pakken we armoede en schulden verder aan. Het eindrapport van de commissie Regulering van Werk (commissie-Borstlap) en het hoofdstuk “Arbeidsmarkt, inkomensverdeling en gelijke kansen” uit het SER MLT-advies vormen de leidraad voor hoe de inrichting van de arbeidsmarkt van de toekomst er uit komt te zien.",4. Bestaanszekerheid en kansengelijkheid,txt
271,"In totaal investeren we €500 mln per jaar in het hervormen van de arbeidsmarkt, reïntegratie en het aanpakken van armoede en schulden. Ook trekken we €300 mln per jaar uit voor lastenverlichting van het mkb via loondoorbetaling bij ziekte.",4. Bestaanszekerheid en kansengelijkheid,txt
272,"We verkleinen de verschillen tussen vast en flex. Te veel mensen in Nederland zijn afhankelijk van tijdelijke contracten. Dit zorgt voor onzekerheid. In lijn met het SER MLT-advies worden oproep-, uitzend- en tijdelijke arbeidscontracten beter gereguleerd. Om de interne flexibiliteit en wendbaarheid van bedrijven te vergroten wordt in overleg met de sociale partners een budgettair neutrale deeltijd-WW uitgewerkt, met oog voor uitvoerbaarheid en betaalbaarheid.",4. Bestaanszekerheid en kansengelijkheid,txt
273,"We hebben de ambitie om de toeslagen af te schaffen, zodat mensen niet meer verdwalen in ingewikkelde regelingen of te maken krijgen met hoge terugvorderingen. We zetten hiervoor deze kabinetsperiode de eerste stappen. We hebben daarnaast de ambitie het belastingstelsel te vereenvoudigen en te hervormen en zetten ook daartoe de eerste stappen.",4. Bestaanszekerheid en kansengelijkheid,txt
274,"We maken werken lonender en verkleinen de armoedeval. We voeren een minimumuurloon in op basis van de 36-urige werkweek (initiatiefwetsvoorstel Gijs van Dijk (PvdA) en Maatoug (GroenLinks), (Kamerstuk 35335)). We verhogen het minimumloon stapsgewijs met 7,5% en houden de koppeling met de uitkeringen (behoudens de AOW) in stand om het bestaansminimum te verstevigen. We komen ouderen tegemoet via een hogere ouderen korting.",4. Bestaanszekerheid en kansengelijkheid,txt
275,"Tegelijkertijd hervormen en vereenvoudigen we de huurtoeslag door de maximale huurgrens af te schaffen en over te stappen naar een systeem van normhuren op basis van inkomen. We zorgen dat iedereen deze hervorming kan dragen, met name de laagste inkomens.",4. Bestaanszekerheid en kansengelijkheid,txt
276,"Hiernaast zorgen we voor lastenverlichting van €3 miljard, met name voor lage- en middeninkomens, werkenden en gezinnen. Daarmee streven we over de kabinetsperiode heen een evenwichtig en gemiddeld positief koopkrachtbeeld voor iedereen na.",4. Bestaanszekerheid en kansengelijkheid,txt
277,Helderheid voor zelfstandigen. Echte zelfstandigen worden ondersteund en ondernemerschap wordt gestimuleerd. De verdere ontwikkeling van een webmodule kan bijdragen aan het vooraf verkrijgen van zekerheid voor zzp-ers over de aard van de arbeidsrelatie. Schijnzelfstandigheid wordt tegengegaan door betere publiekrechtelijke handhaving in het geval van het vermoeden,4. Bestaanszekerheid en kansengelijkheid,txt
278,"van werknemerschap. Er komt een arbeidsongeschiktheidsverzekering voor alle zelfstandigen, die zo wordt vormgegeven dat oneerlijke concurrentie en te grote inkomensrisico’s voor individuen worden voorkomen. Hiermee houden we rekening met de randvoorwaarden uit het pensioenakkoord. De zelfstandigenaftrek wordt vanaf 2023 met stappen van 650 euro teruggebracht tot 1200 euro in 2030. Zelfstandigen worden gedurende de kabinetsperiode gecompenseerd via de verhoging van de arbeidskorting.",4. Bestaanszekerheid en kansengelijkheid,txt
279,"Ondanks de grote krapte op de arbeidsmarkt, zijn er nog teveel mensen die er niet tussen komen en onnodig langs de kant staan. De komende jaren willen we daarom, samen met sociale partners, gemeenten en het UWV, meer mensen naar werk begeleiden. Verder gaan we meer mensen met een afstand tot de arbeidsmarkt naar werk begeleiden en breiden we het aantal beschutte werkplekken uit.",4. Bestaanszekerheid en kansengelijkheid,txt
280,We breiden de arbeidsmarktinfrastructuur uit om de overgang van werk-naar-werk en van uitkering-naar-werk te stimuleren. Onderdeel hiervan zijn instrumenten voor om- en bijscholing die de overstap naar tekortberoepen ondersteunen. Opgedane ervaringen met de regionale mobiliteitsteams in de coronacrisis worden hierbij betrokken.,4. Bestaanszekerheid en kansengelijkheid,txt
281,Ook bevorderen we permanente scholing via leerrechten. In overleg met sociale partners wordt de beëindiging van de arbeidsovereenkomst via een van-werk-naar-werk-route uit het MLT- advies nader uitgewerkt.,4. Bestaanszekerheid en kansengelijkheid,txt
282,"We nemen maatregelen om de arbeidsparticipatie en positie van arbeidsongeschikten te verbeteren. Daarnaast onderzoeken we -in overleg met de sociale partners- hoe ‘hardheden’ in de Wet werk en inkomen naar arbeidsvermogen (WIA) hervormd kunnen worden met oog voor uitvoerbaarheid, betaalbaarheid en uitlegbaarheid.",4. Bestaanszekerheid en kansengelijkheid,txt
283,"Bij ziekte is de inzet primair gericht op herstel en terugkeer van de werknemer. Om de loondoorbetaling bij ziekte te verbeteren, richt de re-integratie zich in het tweede jaar -in lijn met het SER-advies- in principe op het tweede spoor, waarbij de instroom in de WIA zoveel mogelijk wordt beperkt.",4. Bestaanszekerheid en kansengelijkheid,txt
284,"We verruimen de bijverdiengrenzen in de Participatiewet en samen met gemeenten zorgen we er voor dat mensen die langdurig in de bijstand zitten actief worden benaderd en worden ondersteund en gestimuleerd naar werk. We vragen daarbij ook een eigen actieve rol van uitkeringsgerechtigden. Daarbij hebben we oog voor ieders talenten en beperkingen, werken we vanuit vertrouwen en is er ruimte voor maatwerk. We wijzigen de kostendelersnorm zodat inwonende jongvolwassenen tot 27 jaar niet langer meetellen als kostendeler voor de uitkering van huisgenoten.",4. Bestaanszekerheid en kansengelijkheid,txt
285,"We maken het aantrekkelijker voor ouders om werk en zorg te combineren doordat we in stappen de vergoeding van de kinderopvang tot 95% verhogen voor werkende ouders. We werken ook aan de gendergelijkheid op de arbeidsmarkt door het uitbreiden van het betaald ouderschapsverlof naar 70% , het bestrijden van zwangerschapsdiscriminatie en door beter te controleren op loonverschillen. We stimuleren de arbeidsparticipatie, meer uren of dagen werk in de week en een evenredige vertegenwoordiging van vrouwen in leidinggevende posities.",4. Bestaanszekerheid en kansengelijkheid,txt
286,We voeren het pensioenakkoord uit voor een goed en fatsoenlijk pensioen voor alle generaties.,4. Bestaanszekerheid en kansengelijkheid,txt
287,"We zetten de brede armoede- en schuldenaanpak met volle kracht door. We nemen maatregelen om het aantal kinderen dat in armoede opgroeit in vier jaar tijd te halveren en hanteren daarbij een eenduidige, realistische, relatieve definitie van armoede. We herijken elke vier jaar het sociaal minimum om vast te stellen of dit toereikend is om van te leven en mee te doen in de samenleving.",4. Bestaanszekerheid en kansengelijkheid,txt
288,"We zetten in op financiële educatie, preventie en vroeg signalering, zodat we schulden kunnen voorkomen of vroegtijdig kunnen verhelpen. Om te voorkomen dat mensen vastlopen kunnen maatschappelijke organisaties, zoals woningbouw corporaties, signalen omtrent kwetsbaren delen binnen juridisch verankerde waarborgen, zoals doelbinding en proportionaliteit. We geven mensen meer ruimte om een reserve aan te houden.",4. Bestaanszekerheid en kansengelijkheid,txt
289,Gemeenten krijgen meer mogelijkheden om laaggeletterdheid aan te pakken.,4. Bestaanszekerheid en kansengelijkheid,txt
